type	lat	lon	name	desc
T	45.447780000	9.258710000		
T	45.447400000	9.258710000		
T	45.447260000	9.258710000		
T	45.447070000	9.258690000		
T	45.446900000	9.258670000		
T	45.446720000	9.258640000		
T	45.446350000	9.258540000		
T	45.446240000	9.258510000		
T	45.445860000	9.258400000		
T	45.445030000	9.258160000		
T	45.444880000	9.258120000		
T	45.444680000	9.258060000		
T	45.444260000	9.257950000		
T	45.443860000	9.257840000		
T	45.443200000	9.257660000		
T	45.442840000	9.257570000		
T	45.442430000	9.257450000		
T	45.441960000	9.257320000		
T	45.440480000	9.256880000		
T	45.440360000	9.256850000		
T	45.439160000	9.256490000		
T	45.439020000	9.256450000		
T	45.438840000	9.256410000		
T	45.438510000	9.256320000		
T	45.438310000	9.256260000		
T	45.437310000	9.255980000		
T	45.437130000	9.255920000		
T	45.436820000	9.255820000		
T	45.436610000	9.255740000		
T	45.436440000	9.255680000		
T	45.436200000	9.255580000		
T	45.435800000	9.255410000		
T	45.435260000	9.255130000		
T	45.434990000	9.254980000		
T	45.434770000	9.254840000		
T	45.434530000	9.254680000		
T	45.434200000	9.254450000		
T	45.434030000	9.254330000		
T	45.433840000	9.254180000		
T	45.433640000	9.254030000		
T	45.433480000	9.253890000		
T	45.433320000	9.253760000		
T	45.433200000	9.253650000		
T	45.433030000	9.253480000		
T	45.432790000	9.253260000		
T	45.432610000	9.253070000		
T	45.432430000	9.252880000		
T	45.432040000	9.252420000		
T	45.431780000	9.252100000		
T	45.431680000	9.251940000		
T	45.430780000	9.250660000		
T	45.430090000	9.249610000		
T	45.429270000	9.248300000		
T	45.429050000	9.247940000		
T	45.428990000	9.247850000		
T	45.428910000	9.247720000		
T	45.428760000	9.247490000		
T	45.428760000	9.247490000		
T	45.428630000	9.247340000		
T	45.428470000	9.247130000		
T	45.428300000	9.246930000		
T	45.428140000	9.246750000		
T	45.427960000	9.246570000		
T	45.427810000	9.246430000		
T	45.427630000	9.246280000		
T	45.427200000	9.245950000		
T	45.426970000	9.245850000		
T	45.426950000	9.245840000		
T	45.426810000	9.245780000		
T	45.426620000	9.245710000		
T	45.426510000	9.245670000		
T	45.426430000	9.245660000		
T	45.426340000	9.245630000		
T	45.426290000	9.245610000		
T	45.425970000	9.245520000		
T	45.425760000	9.245480000		
T	45.425550000	9.245450000		
T	45.425340000	9.245450000		
T	45.425210000	9.245450000		
T	45.425000000	9.245460000		
T	45.424840000	9.245470000		
T	45.424700000	9.245490000		
T	45.424590000	9.245500000		
T	45.424060000	9.245550000		
T	45.423620000	9.245600000		
T	45.423190000	9.245650000		
T	45.423020000	9.245680000		
T	45.422580000	9.245720000		
T	45.422390000	9.245750000		
T	45.422070000	9.245780000		
T	45.421670000	9.245820000		
T	45.420880000	9.245910000		
T	45.420680000	9.245940000		
T	45.420400000	9.245990000		
T	45.420260000	9.246020000		
T	45.420070000	9.246070000		
T	45.419890000	9.246120000		
T	45.419620000	9.246230000		
T	45.419410000	9.246310000		
T	45.419200000	9.246420000		
T	45.419140000	9.246450000		
T	45.418990000	9.246540000		
T	45.418890000	9.246600000		
T	45.418720000	9.246710000		
T	45.418600000	9.246800000		
T	45.418500000	9.246880000		
T	45.418350000	9.247000000		
T	45.418230000	9.247110000		
T	45.418100000	9.247230000		
T	45.417970000	9.247360000		
T	45.417850000	9.247490000		
T	45.417720000	9.247640000		
T	45.417540000	9.247850000		
T	45.417360000	9.248070000		
T	45.416980000	9.248600000		
T	45.416910000	9.248710000		
T	45.416470000	9.249370000		
T	45.415670000	9.250580000		
T	45.415040000	9.251540000		
T	45.414960000	9.251660000		
T	45.414600000	9.252190000		
T	45.414590000	9.252200000		
T	45.413840000	9.253260000		
T	45.413490000	9.253740000		
T	45.412870000	9.254560000		
T	45.411920000	9.255760000		
T	45.410080000	9.258100000		
T	45.409510000	9.258810000		
T	45.409440000	9.258900000		
T	45.409390000	9.258950000		
T	45.409350000	9.259010000		
T	45.409260000	9.259120000		
T	45.408640000	9.259870000		
T	45.408460000	9.260070000		
T	45.408240000	9.260270000		
T	45.408050000	9.260450000		
T	45.407950000	9.260530000		
T	45.407820000	9.260630000		
T	45.407490000	9.260840000		
T	45.407290000	9.260950000		
T	45.407130000	9.261020000		
T	45.406990000	9.261080000		
T	45.406840000	9.261130000		
T	45.406710000	9.261170000		
T	45.406570000	9.261200000		
T	45.406450000	9.261240000		
T	45.406280000	9.261270000		
T	45.406090000	9.261290000		
T	45.405760000	9.261300000		
T	45.405350000	9.261270000		
T	45.405150000	9.261250000		
T	45.404860000	9.261220000		
T	45.404210000	9.261150000		
T	45.403480000	9.261080000		
T	45.402980000	9.261010000		
T	45.402720000	9.260990000		
T	45.402250000	9.260930000		
T	45.401600000	9.260850000		
T	45.401170000	9.260810000		
T	45.400240000	9.260710000		
T	45.399460000	9.260620000		
T	45.398250000	9.260490000		
T	45.397900000	9.260450000		
T	45.397430000	9.260400000		
T	45.396720000	9.260320000		
T	45.396400000	9.260280000		
T	45.395730000	9.260230000		
T	45.395440000	9.260230000		
T	45.394980000	9.260240000		
T	45.394830000	9.260250000		
T	45.394790000	9.260250000		
T	45.394470000	9.260280000		
T	45.394100000	9.260340000		
T	45.393700000	9.260420000		
T	45.393430000	9.260490000		
T	45.393100000	9.260580000		
T	45.392410000	9.260820000		
T	45.391860000	9.261080000		
T	45.391350000	9.261330000		
T	45.391200000	9.261420000		
T	45.391110000	9.261470000		
T	45.391060000	9.261500000		
T	45.390910000	9.261590000		
T	45.390740000	9.261710000		
T	45.390470000	9.261900000		
T	45.390240000	9.262090000		
T	45.389910000	9.262370000		
T	45.389600000	9.262650000		
T	45.389340000	9.262890000		
T	45.389140000	9.263090000		
T	45.388610000	9.263610000		
T	45.388110000	9.264120000		
T	45.388030000	9.264220000		
T	45.387750000	9.264580000		
T	45.387120000	9.265310000		
T	45.386280000	9.266310000		
